month,PSA,cameras
2017-02-01,303,1
2017-02-01,304,0
2017-02-01,305,2
2017-02-01,306,0
2017-02-01,307,0
2017-02-01,308,0
2017-02-01,401,0
2017-02-01,402,0
2017-02-01,403,0
2017-02-01,404,0
2017-02-01,405,0
2017-02-01,406,0
2017-02-01,407,1
2017-02-01,408,0
2017-02-01,409,0
2017-02-01,501,0
2017-02-01,502,2
2017-02-01,503,0
2017-02-01,504,0
2017-02-01,505,0
2017-02-01,506,0
2017-02-01,507,1
2017-02-01,601,0
2017-02-01,602,0
2017-02-01,603,0
2017-02-01,604,1
2017-02-01,605,0
2017-02-01,606,0
2017-02-01,607,0
2017-02-01,608,0
2017-02-01,701,1
2017-02-01,702,0
2017-02-01,703,1
2017-02-01,704,0
2017-02-01,705,0
2017-02-01,706,0
2017-02-01,707,0
2017-02-01,708,0
2017-03-01,101,0
2017-03-01,102,0
2017-03-01,103,0
2017-03-01,104,16
2017-03-01,105,2
2017-03-01,106,5
2017-03-01,107,5
2017-03-01,108,15
2017-03-01,201,6
2017-03-01,202,2
2017-03-01,203,0
2017-03-01,204,4
2017-03-01,205,2
2017-03-01,206,3
2017-03-01,207,0
2017-03-01,208,6
2017-03-01,301,1
2017-03-01,302,9
2017-03-01,303,3
2017-03-01,304,6
2017-03-01,305,3
2017-03-01,306,2
2017-03-01,307,1
2017-03-01,308,3
2017-03-01,401,4
2017-03-01,402,6
2017-03-01,403,3
2017-03-01,404,12
2017-03-01,405,1
2017-03-01,406,2
2017-03-01,407,10
2017-03-01,408,4
2017-03-01,409,7
2017-03-01,501,12
2017-03-01,502,9
2017-03-01,503,7
2017-03-01,504,11
2017-03-01,505,1
2017-03-01,506,5
2017-03-01,507,7
2017-03-01,601,3
2017-03-01,602,1
2017-03-01,603,3
2017-03-01,604,2
2017-03-01,605,5
2017-03-01,606,0
2017-03-01,607,1
2017-03-01,608,2
2017-03-01,701,4
2017-03-01,702,0
2017-03-01,703,1
2017-03-01,704,1
2017-03-01,705,2
2017-03-01,706,0
2017-03-01,707,1
2017-03-01,708,2
2017-04-01,101,0
2017-04-01,102,0
2017-04-01,103,1
2017-04-01,104,7
2017-04-01,105,0
2017-04-01,106,5
2017-04-01,107,11
2017-04-01,108,15
2017-04-01,201,3
2017-04-01,202,4
2017-04-01,203,1
2017-04-01,204,2
2017-04-01,205,7
2017-04-01,206,1
2017-04-01,207,0
2017-04-01,208,2
2017-04-01,301,2
2017-04-01,302,6
2017-04-01,303,5
2017-04-01,304,4
2017-04-01,305,2
2017-04-01,306,5
2017-04-01,307,2
2017-04-01,308,1
2017-04-01,401,4
2017-04-01,402,3
2017-04-01,403,3
2017-04-01,404,4
2017-04-01,405,7
2017-04-01,406,1
2017-04-01,407,9
2017-04-01,408,3
2017-04-01,409,0
2017-04-01,501,8
2017-04-01,502,8
2017-04-01,503,7
2017-04-01,504,11
2017-04-01,505,1
2017-04-01,506,4
2017-04-01,507,8
2017-04-01,601,2
2017-04-01,602,5
2017-04-01,603,1
2017-04-01,604,3
2017-04-01,605,2
2017-04-01,606,0
