month,PSA,OFFENSE,crimes
2017-01-01,702,sex abuse,0
2017-01-01,702,theft f/auto,3
2017-01-01,702,theft/other,6
2017-01-01,703,arson,0
2017-01-01,703,assault w/dangerous weapon,2
2017-01-01,703,burglary,2
2017-01-01,703,homicide,0
2017-01-01,703,motor vehicle theft,5
2017-01-01,703,robbery,3
2017-01-01,703,sex abuse,0
2017-01-01,703,theft f/auto,3
2017-01-01,703,theft/other,2
2017-01-01,704,arson,0
2017-01-01,704,assault w/dangerous weapon,1
2017-01-01,704,burglary,4
2017-01-01,704,homicide,0
2017-01-01,704,motor vehicle theft,0
2017-01-01,704,robbery,0
2017-01-01,704,sex abuse,0
2017-01-01,704,theft f/auto,1
2017-01-01,704,theft/other,3
2017-01-01,705,arson,0
2017-01-01,705,assault w/dangerous weapon,0
2017-01-01,705,burglary,1
2017-01-01,705,homicide,0
2017-01-01,705,motor vehicle theft,0
2017-01-01,705,robbery,6
2017-01-01,705,sex abuse,0
2017-01-01,705,theft f/auto,0
2017-01-01,705,theft/other,1
2017-01-01,706,arson,0
2017-01-01,706,assault w/dangerous weapon,1
2017-01-01,706,burglary,1
2017-01-01,706,homicide,0
2017-01-01,706,motor vehicle theft,0
2017-01-01,706,robbery,0
2017-01-01,706,sex abuse,0
2017-01-01,706,theft f/auto,1
2017-01-01,706,theft/other,4
2017-01-01,707,arson,0
2017-01-01,707,assault w/dangerous weapon,3
2017-01-01,707,burglary,3
2017-01-01,707,homicide,0
2017-01-01,707,motor vehicle theft,4
2017-01-01,707,robbery,0
2017-01-01,707,sex abuse,1
2017-01-01,707,theft f/auto,3
2017-01-01,707,theft/other,1
2017-01-01,708,arson,0
2017-01-01,708,assault w/dangerous weapon,2
2017-01-01,708,burglary,0
2017-01-01,708,homicide,0
2017-01-01,708,motor vehicle theft,2
2017-01-01,708,robbery,1
2017-01-01,708,sex abuse,0
2017-01-01,708,theft f/auto,5
2017-01-01,708,theft/other,5
2017-01-01,NA,arson,0
2017-01-01,NA,assault w/dangerous weapon,0
2017-01-01,NA,burglary,0
2017-01-01,NA,homicide,0
2017-01-01,NA,motor vehicle theft,0
2017-01-01,NA,robbery,0
2017-01-01,NA,sex abuse,0
2017-01-01,NA,theft f/auto,0
2017-01-01,NA,theft/other,0
2017-02-01,101,arson,0
